project_id,title,completion_year,supervisors
BPH000147,Evaluation of microbial contamination and preservative capacity of some brands of cosmetic organs in Dar es Salaam.,2007,
BPH000148,A comparison study on the prescribing pattern between private and public pediatric clinic to the patients suffering form URTIs,2007,
BPH000149,DEVELOPMENT AND VALIDATION OF AN HIGH PERFORMANCE THIN LAYER CHROMATOGRAPHY-DENSITOMETRIC METHOD FOR ASSAY OF RIFAMPIN/ISONIAZID IN FIXED DOSAGE COMBINATION.,2007,KAALE; RISHA
BPH000150,Antimicrobial activity of Albinia amara LEAF,2007,
BPH000151,Monitoring and evaluation (Intervertion) on prescribing pattern at out patient department (OPD) of Muhimbili National Hospital (MNH),2007,
BPH000152,SCREENING FOR THE PRESENCE OF AFLATOXINS IN LOCALLY PROSSED FOODS.,2007,CHAMBUSO
BPH000153,Survey on store condition and inventory management of antiretroviral commodities authorized ARVs clinics in Dar es Salaam,2007,
BPH000154,Assessment of inventory management health facilities in Dar es Salaam Region.,2007,
BPH000155,ASSESSMENT OF KNOWLEDGE OF CITY COMMUTER BUSES DRIVERS AND CONDUCTORS ON PREVENTIVE MEASURES AGAINST HIV/AIDS IN ILALA DISTRICT.,2007,MUGOYELA
BPH000156,Evaluation of antibiotics activities of Abrus precations plant leave,2007,
BPH000157,Assessment of the prescribing pattern and the use of analgesics at MOI,2007,
BPH000158,Contamination of commercially available Quinine Syrups and water for injection.,2007,
BPH000159,CLINICAL MANIFESTATION OF EYE PROBLEMS IN HIV PATIENTS.,2007,KALALA
BPH000160,THE NATURE AND EXTENT OF THE INHALANT ABUSE AMONG YOUTHS IN DSM.,2007,KALALA
BPH000161,Development and validation of HPTLC Densitometric method for Quantitative analysis of nevirapine,2007,
BPH000162,Development and validation of a HPTLC densitometry method for dixovudine and lamivudine tablets in a fixed dose combination,2007,
BPH000163,The knowledge of safety and herb dray3interactions in HIV/AIDS patients attending MNH/AIDS clinic.,2007,
BPH000164,Prevelence of mother to child transmission among HIV positive,2007,
BPH000165,ANTIMICROBIAL ACTIVITY AND CHEMICAL ANALYSIS OF CHLORINATED LIME SOLUTION (EUSOL) AND SODIUM HYPOCHLORITE SOLUTION (WATERGUARDSï¾®.,2007,MWAMBETE; MUNG’ONG’O
BPH000166,Attitude of non medical staffs at MUCHS and MNH towards people living with HIV/AIDS,2007,
BPH000167,Assessment of Pharmacists role in dental care services in Hospital and community pharmacies in Dar es Salaam,2007,
BPH000168,Development and validation of HPTLC Densitometry for quantitative assay of Ciproflaxacin in a solid dosage form,2007,
BPH000169,METHOD DEVELOPMENT OF THIN LAYER CHROMATOGRAPHY DENSITOMETRIC ASSAY OF ARTEMETHER/LUMEFANTRINE 2006/2007,2007,KAALE; RISHA
BPH000170,Parenteral Drug Abuse and syringe disposal in Temeke Municipality,2007,
BPH000171,Factor affecting adherence to anti rectraviral therapy among HIV positive adult attending the ARV clinic at Muhimbili National Hospital,2007,
BPH000172,Evaluation of the differences between plectranthus growing in Handeni.,2007,
BPH000173,Method development and validation of a HPTLC densitometic analysis of co-trimoxazole,2007,
BPH000174,Availability of ARVs and patients adherence among private Hospitals in Dar es Salaam,2007,
BPH000175,Phytochemical study of antimalarial preparations used by traditional healers in Dar es Salaam and in vivo activity of Moning lifera in mice infected with plasmodium berghei,2007,
BPH000176,Challenges facing dispensing of ART to Pediatric in Dar es Salaam,2007,
BPH000177,Development and method validation of metrondazole,2007,
BPH000178,Development and validation of an HPLC densitometric method for analysis of Amodiaquine,2007,
BPH000179,Development and validation of an improved HPTLC densitometric method for qualitative analysis of Quinine,2007,
BPH000180,To determine factors incidence and prevalence of HIV/AIDS patients to switch to second line ART,2007,
BPH000181,"FORMULATION OF TABLETS FROM CRUDE EXTRACT OF FICUS SANSIBARICA, WHICH IS USED BY TRADITION HEALER IN TREATMENT OF UTERINE FIBROIDS, YEAR 2003/2004",2007,KABATI
BPH000182,In vivo Antimalarial activity of Cassia abbreviata leaf methanolic extract,2007,
BPH000183,Assessment of the prescribing pattern and the use of analgesics by patients at MOI,2007,
BPH000184,Perception of Pharmacy profession by health workers pharmacists and public,2007,
BPH000185,Assessment of content uniformity of Quinine sulphate tablets circulating in market in Dar es Salaam by using HPLC method,2007,
BPH000186,IN VITRO ANTIMICROBIAL ACTIVITY OF EXTRACT FROM DISSOTIS BRAZZAE.,2008,MOSHI; MBWAMBO
BPH000187,TO ASSESS OF SAFETY ASPECT OF DRUG USE IN ANIMALS IN DSM AND KIBAHA TANZANIA,2008,TEMU
BPH000188,KNOWLEDGE AND PRACTICE OF CONDON USE AS A HIV/AIDS PREVENTIVE MEASURE AMONG MUHAS STUDENTS.,2008,MALELE
BPH000189,INVESTIGATION OF PRODUCTION CAPACITY OF LOCAL PHARMACEUTICAL INDUSTRIES IN TANZANIA.,2008,MUGOYELA; RISHA
